ID,Factor,Average_Return,T-Value_Original,Alpha_FF3,T-Value_FF3,Alpha_FF5,T-Value_FF5
1,Beta,0.958185088,6.6568475,-0.477591611,-3.247244501,-0.072163203,-0.572642873
2,BetaLiquidityPS,0.498254003,8.095964105,-0.063327401,-0.77184018,-0.071643569,-0.863233395
3,CPVolSpread,0.510438054,8.543522384,0.267408743,3.712019032,0.23766167,3.302693173
4,Coskewness,0.557726426,8.056468181,-0.040779501,-0.478659649,0.038945145,0.484086284
5,CustomerMomentum,1.017706568,7.080002979,0.068018505,0.366344721,0.152292543,0.768450001
6,DolVol,0.626810724,12.24627859,-0.019852599,-0.211735473,-0.031177071,-0.33798137
7,Frontier,0.729008171,8.695063111,-0.079045393,-0.674205454,0.015661645,0.16090593
8,High52,0.775253702,6.97859443,0.219323149,1.809099102,-0.031441898,-0.215837002
9,IdioVol3F,0.902509984,6.568065641,0.483594638,3.35423308,0.137809764,1.145905086
10,Illiquidity,0.492011756,13.57795815,0.00594734,0.101789053,-0.009334468,-0.160201676
11,IntMom,0.821206017,9.112789102,0.063392217,0.334344863,0.006776108,0.038711832
12,LRreversal,0.763149504,11.03345086,-0.140614941,-1.012846034,-0.085395293,-0.634855647
13,MaxRet,0.899986152,6.365438786,0.426732158,3.143504822,0.100660403,1.048927578
14,Mom12m,1.002873336,8.074478507,0.259727754,1.430622157,0.061113511,0.285538646
15,Mom6m,0.923820905,8.092206606,0.237770376,1.373189692,0.028673645,0.143013038
16,Mom6mJunk,0.885752645,8.35505638,0.216450646,1.380254386,0.043819034,0.25368158
17,MomOffSeason,0.681315455,9.895012626,-0.169869075,-1.716689886,-0.17692034,-1.637115867
18,MomOffSeason06YrPlus,0.614387373,9.588161197,0.432728863,5.465956735,0.375137482,4.779922758
19,MomOffSeason11YrPlus,0.569016111,8.636640389,-0.024381095,-0.263054488,0.032428708,0.317544613
20,MomOffSeason16YrPlus,0.567963696,8.907354827,0.033076856,0.472868838,0.003304411,0.047616557
21,MomSeason,0.586626276,11.00792291,-0.061109956,-0.499040871,-0.073056919,-0.592996397
22,MomSeason06YrPlus,0.553783871,9.298651556,0.1070444,1.143954335,0.194700636,1.575457849
23,MomSeason11YrPlus,0.541108807,8.894456312,0.02123883,0.273577536,0.050692712,0.605156203
24,MomSeason16YrPlus,0.533184055,8.998321084,0.090587796,0.962743529,0.11658488,1.194418117
25,MomSeasonShort,0.639894971,10.17224936,-0.058160703,-0.51588243,-0.11528447,-1.04233438
26,RIVolSpread,0.717711891,7.461471131,0.169752958,1.801133045,0.114375169,1.262558459
27,ResidualMomentum,0.491859809,9.207509675,0.097840988,1.169200913,0.012893131,0.172361329
28,STreversal,0.840323709,7.607260955,-0.236027968,-1.716235737,-0.137609465,-0.991601636
29,Size,0.846763493,12.29566963,-0.279304266,-2.005124965,-0.191717065,-1.38280947
30,VolMkt,0.701259374,6.611676987,0.112566662,1.268878195,-0.124807275,-1.460864952
31,VolSD,0.48140218,9.601056691,0.126643585,2.317708547,0.080279438,1.434479943
32,std_turn,0.95209559,8.580143396,0.282131358,2.439509545,0.165913876,1.425391535
